rank,split,avg_runs_per_game,std,p10,p90,slots_diff_vs_1,sim_games,slot_1_name,slot_1_pos,slot_1_ops,slot_1_iso,slot_1_obp,slot_1_pwr,slot_1_gbfb,slot_2_name,slot_2_pos,slot_2_ops,slot_2_iso,slot_2_obp,slot_2_pwr,slot_2_gbfb,slot_3_name,slot_3_pos,slot_3_ops,slot_3_iso,slot_3_obp,slot_3_pwr,slot_3_gbfb,slot_4_name,slot_4_pos,slot_4_ops,slot_4_iso,slot_4_obp,slot_4_pwr,slot_4_gbfb,slot_5_name,slot_5_pos,slot_5_ops,slot_5_iso,slot_5_obp,slot_5_pwr,slot_5_gbfb,slot_6_name,slot_6_pos,slot_6_ops,slot_6_iso,slot_6_obp,slot_6_pwr,slot_6_gbfb,slot_7_name,slot_7_pos,slot_7_ops,slot_7_iso,slot_7_obp,slot_7_pwr,slot_7_gbfb,slot_8_name,slot_8_pos,slot_8_ops,slot_8_iso,slot_8_obp,slot_8_pwr,slot_8_gbfb,slot_9_name,slot_9_pos,slot_9_ops,slot_9_iso,slot_9_obp,slot_9_pwr,slot_9_gbfb
1,Away vs LHP,3.496,2.7202,0.0,7.0,0,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
2,Away vs LHP,3.4233,2.6407,0.0,7.0,5,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Edouard Julien,DH,0.637,0.117,0.307,0.297,1.03,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76
3,Away vs LHP,3.3927,2.669,0.0,7.0,5,1500,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06
4,Away vs LHP,3.3827,2.6957,0.0,7.0,3,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
5,Away vs LHP,3.3827,2.5949,0.0,7.0,4,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
6,Away vs LHP,3.3773,2.639,0.0,7.0,4,1500,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
7,Away vs LHP,3.3753,2.7556,0.0,7.0,5,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Jake McCarthy,DH,0.598,0.071,0.289,0.178,1.11,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76
8,Away vs LHP,3.356,2.652,0.0,7.0,3,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Jake McCarthy,DH,0.598,0.071,0.289,0.178,1.11,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
9,Away vs LHP,3.3313,2.713,0.0,7.0,2,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17
10,Away vs LHP,3.32,2.6644,0.0,7.0,4,1500,Ezequiel Tovar,SS,0.561,0.094,0.259,0.273,1.11,Jordan Beck,LF,0.65,0.115,0.291,0.263,1.26,Brenton Doyle,CF,0.449,0.074,0.213,0.273,1.06,TJ Rumfield,1B,0.664,0.125,0.3,0.307,0.9,Hunter Goodman,C,0.864,0.268,0.329,0.474,0.9,Kyle Karros,3B,0.671,0.077,0.34,0.242,1.17,Mickey Moniak,RF,0.675,0.197,0.267,0.452,0.76,Willi Castro,2B,0.702,0.125,0.327,0.306,1.26,Tyler Freeman,DH,0.574,0.036,0.283,0.143,2.0
