rank,split,avg_runs_per_game,std,p10,p90,slots_diff_vs_1,sim_games,slot_1_name,slot_1_pos,slot_1_ops,slot_1_iso,slot_1_obp,slot_1_pwr,slot_1_gbfb,slot_2_name,slot_2_pos,slot_2_ops,slot_2_iso,slot_2_obp,slot_2_pwr,slot_2_gbfb,slot_3_name,slot_3_pos,slot_3_ops,slot_3_iso,slot_3_obp,slot_3_pwr,slot_3_gbfb,slot_4_name,slot_4_pos,slot_4_ops,slot_4_iso,slot_4_obp,slot_4_pwr,slot_4_gbfb,slot_5_name,slot_5_pos,slot_5_ops,slot_5_iso,slot_5_obp,slot_5_pwr,slot_5_gbfb,slot_6_name,slot_6_pos,slot_6_ops,slot_6_iso,slot_6_obp,slot_6_pwr,slot_6_gbfb,slot_7_name,slot_7_pos,slot_7_ops,slot_7_iso,slot_7_obp,slot_7_pwr,slot_7_gbfb,slot_8_name,slot_8_pos,slot_8_ops,slot_8_iso,slot_8_obp,slot_8_pwr,slot_8_gbfb,slot_9_name,slot_9_pos,slot_9_ops,slot_9_iso,slot_9_obp,slot_9_pwr,slot_9_gbfb
1,Away vs RHP,3.6353,2.7693,0.0,7.0,0,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
2,Away vs RHP,3.5987,2.8449,0.0,7.0,3,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
3,Away vs RHP,3.596,2.8184,0.0,7.0,4,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26
4,Away vs RHP,3.5893,2.747,0.0,8.0,3,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Edouard Julien,DH,0.739,0.133,0.356,0.281,1.03
5,Away vs RHP,3.586,2.8345,0.0,7.0,6,1500,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
6,Away vs RHP,3.586,2.9038,0.0,8.0,4,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
7,Away vs RHP,3.58,2.6757,0.0,7.0,4,1500,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9
8,Away vs RHP,3.58,2.6747,0.0,7.0,4,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06
9,Away vs RHP,3.5773,2.8188,0.0,7.0,4,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
10,Away vs RHP,3.5507,2.8011,0.0,7.0,3,1500,TJ Rumfield,1B,0.742,0.119,0.347,0.27,0.9,Hunter Goodman,C,0.799,0.265,0.299,0.513,0.9,Kyle Karros,3B,0.611,0.069,0.311,0.243,1.17,Mickey Moniak,RF,0.718,0.19,0.29,0.4,0.76,Jordan Beck,LF,0.625,0.12,0.275,0.31,1.26,Brenton Doyle,CF,0.475,0.107,0.205,0.346,1.06,Ezequiel Tovar,SS,0.529,0.088,0.241,0.28,1.11,Willi Castro,2B,0.763,0.159,0.348,0.356,1.26,Jake McCarthy,DH,0.704,0.083,0.34,0.162,1.11
