rank,split,avg_runs_per_game,std,p10,p90,slots_diff_vs_1,sim_games,slot_1_name,slot_1_pos,slot_1_ops,slot_1_iso,slot_1_obp,slot_1_pwr,slot_1_gbfb,slot_2_name,slot_2_pos,slot_2_ops,slot_2_iso,slot_2_obp,slot_2_pwr,slot_2_gbfb,slot_3_name,slot_3_pos,slot_3_ops,slot_3_iso,slot_3_obp,slot_3_pwr,slot_3_gbfb,slot_4_name,slot_4_pos,slot_4_ops,slot_4_iso,slot_4_obp,slot_4_pwr,slot_4_gbfb,slot_5_name,slot_5_pos,slot_5_ops,slot_5_iso,slot_5_obp,slot_5_pwr,slot_5_gbfb,slot_6_name,slot_6_pos,slot_6_ops,slot_6_iso,slot_6_obp,slot_6_pwr,slot_6_gbfb,slot_7_name,slot_7_pos,slot_7_ops,slot_7_iso,slot_7_obp,slot_7_pwr,slot_7_gbfb,slot_8_name,slot_8_pos,slot_8_ops,slot_8_iso,slot_8_obp,slot_8_pwr,slot_8_gbfb,slot_9_name,slot_9_pos,slot_9_ops,slot_9_iso,slot_9_obp,slot_9_pwr,slot_9_gbfb
1,Home vs LHP,5.78,3.6518,2.0,11.0,0,1500,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
2,Home vs LHP,5.752,3.6719,2.0,10.1,3,1500,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
3,Home vs LHP,5.7447,3.7353,1.0,11.0,3,1500,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
4,Home vs LHP,5.7387,3.6591,1.0,11.0,4,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11
5,Home vs LHP,5.7373,3.6915,1.0,11.0,6,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26
6,Home vs LHP,5.7173,3.6896,1.0,11.0,3,1500,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06
7,Home vs LHP,5.6973,3.5876,1.0,11.0,3,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
8,Home vs LHP,5.692,3.668,2.0,11.0,5,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
9,Home vs LHP,5.6867,3.675,1.0,11.0,4,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
10,Home vs LHP,5.6813,3.5474,2.0,10.0,3,1500,Brenton Doyle,CF,0.847,0.183,0.354,0.364,1.06,Hunter Goodman,C,0.938,0.219,0.39,0.333,0.9,Jordan Beck,LF,0.754,0.12,0.344,0.25,1.26,Ezequiel Tovar,SS,0.977,0.246,0.392,0.364,1.11,Mickey Moniak,RF,0.905,0.242,0.361,0.4,0.76,Willi Castro,2B,0.71,0.123,0.333,0.297,1.26,Tyler Freeman,DH,0.737,0.051,0.364,0.158,2.0,TJ Rumfield,1B,0.693,0.125,0.317,0.3,0.9,Kyle Karros,3B,0.644,0.045,0.333,0.171,1.17
